ID	Start	End	Status	Error Message	Request: Query Params	Request: Body	Response: Code	Response: Headers	Response: Body	Response: Body Size
f1895db0-7982-4184-a90d-f30ca7993811	2025-05-24T02:35:11.385838Z	2025-05-24T02:35:11.762094Z	SUCCESS	null	null		200	date: [Sat, 24 May 2025 02:35:10 GMT] | server: [uvicorn] | x-cat-dog: [alone in the world] | content-language: [es] | authorization: [Bearer 02643d2e-a378-41b8-be9d-60c33ca2ef0a] | content-length: [50] | content-type: [application/json]	{"user_id":"d154e9cf-c206-4de3-9e7d-017df29621f4"}	50
f7d69a11-4fa3-4c7e-a652-c161a9e4b4a0	2025-05-24T02:35:11.920971Z	2025-05-24T02:35:12.414337Z	SUCCESS	null	null		200	date: [Sat, 24 May 2025 02:35:11 GMT] | server: [uvicorn] | x-cat-dog: [alone in the world] | content-language: [es] | authorization: [Bearer dfadf72d-6c04-4b7e-880f-97f652037f56] | content-length: [50] | content-type: [application/json]	{"user_id":"87643ca6-aa04-4d61-8aef-3df8e62acd6e"}	50
df4f7b8c-452b-41f1-9c29-a5c232e226d9	2025-05-24T02:35:12.417769Z	2025-05-24T02:35:12.626854Z	SUCCESS	null	null		200	date: [Sat, 24 May 2025 02:35:11 GMT] | server: [uvicorn] | x-cat-dog: [alone in the world] | content-language: [es] | authorization: [Bearer d3146865-90b7-4d51-9ef4-a00be3756115] | content-length: [50] | content-type: [application/json]	{"user_id":"b805e63e-9ad8-49bd-92c0-912cba6df1c9"}	50
d2597e06-37e3-4622-b1df-e24d18d25f24	2025-05-24T02:35:12.629276Z	2025-05-24T02:35:13.133553Z	SUCCESS	null	null		200	date: [Sat, 24 May 2025 02:35:12 GMT] | server: [uvicorn] | x-cat-dog: [alone in the world] | content-language: [es] | authorization: [Bearer f3b324dc-4251-4dfb-9536-c260522cec93] | content-length: [50] | content-type: [application/json]	{"user_id":"590b2869-4e3b-4098-8f10-a149af6f3753"}	50
5327e77d-7f80-49a8-82e3-4585aeecea56	2025-05-24T02:35:13.136004Z	2025-05-24T02:35:13.546556Z	SUCCESS	null	null		200	date: [Sat, 24 May 2025 02:35:12 GMT] | server: [uvicorn] | x-cat-dog: [alone in the world] | content-language: [es] | authorization: [Bearer 4bb08bfa-27da-4f06-b01a-de97854d278b] | content-length: [50] | content-type: [application/json]	{"user_id":"6a66260e-3633-427f-86c9-dba86092fcde"}	50
2f3e5b0b-5c0f-4abf-b7d5-516fcd42d74b	2025-05-24T02:35:13.548942Z	2025-05-24T02:35:13.617053Z	SUCCESS	null	null		200	date: [Sat, 24 May 2025 02:35:12 GMT] | server: [uvicorn] | x-cat-dog: [alone in the world] | content-language: [es] | authorization: [Bearer 6d0e5ded-1c66-4dc7-8cc4-75b13215f709] | content-length: [50] | content-type: [application/json]	{"user_id":"dca6c3fa-4918-47a7-a9dd-78d15076b2db"}	50
b058013a-c522-42c6-b3bc-933d7128d452	2025-05-24T02:35:13.618165Z	2025-05-24T02:35:13.623991Z	SUCCESS	null	user_id: d154e9cf-c206-4de3-9e7d-017df29621f4	null	200	date: [Sat, 24 May 2025 02:35:12 GMT] | server: [uvicorn] | content-length: [133] | content-type: [application/json]	{"name":"Chloe","username":"JohnDoe21","password":"HiThisIsAPassword@00004","email":"JohnDoe21@mail.com","age":66,"surname":"López"}	132
02930e59-db5e-450c-a266-91a3f04bf524	2025-05-24T02:35:13.627044Z	2025-05-24T02:35:13.630745Z	SUCCESS	null	null		200	date: [Sat, 24 May 2025 02:35:12 GMT] | server: [uvicorn] | content-length: [4] | content-type: [application/json]	null	4
dde23dc9-d70e-4d54-8daf-d066b53e30f0	2025-05-24T02:35:13.631649Z	2025-05-24T02:35:13.633525Z	EXCEPTION	Can't assign requested address	null	null	null	null	null	null
a608c6fb-edb0-4310-af58-4d99e43570bb	2025-05-24T02:35:13.634370Z	2025-05-24T02:35:13.637370Z	SUCCESS	null	user_id: b805e63e-9ad8-49bd-92c0-912cba6df1c9	null	200	date: [Sat, 24 May 2025 02:35:12 GMT] | server: [uvicorn] | content-length: [135] | content-type: [application/json]	{"name":"Carlos","username":"JohnDoe21","password":"HiThisIsAPassword@00003","email":"JohnDoe21@mail.com","age":72,"surname":"Alvarez"}	135
